ticker,trigger_date,trigger_time,anomaly_type,price_zscore,volume_zscore,daily_return,news_window_start,news_window_end,severity
TSLA,2025-11-24,2025-11-24 15:30:00,price,2.0466253594443873,0.4995567526452654,0.0682451678419993,2025-11-24 13:30:00,2025-11-24 17:30:00,Medium
TSLA,2025-12-17,2025-12-17 15:30:00,price,-2.0661678028596167,1.2410051729830418,-0.04617456293730249,2025-12-17 13:30:00,2025-12-17 17:30:00,Medium
